batch_size,cpu_time,gpu_time,speedup,method
1000,0.006313899978219221,0.0640773000001597,0.09853567454002408,Euler
10000,0.03541056668230643,0.08198719997502242,0.43190359828234576,Euler
100000,0.7841474999828885,0.2695706999899509,2.9088751114721294,Euler
500000,4.636143800007024,1.1043640333421838,4.1980213589322215,Euler
1000000,10.230953166688172,2.091270833315017,4.892218168830091,Euler
1000,0.02557326665070529,0.2950289666769095,0.08668052814865107,RK4
10000,0.09963496665780743,0.31135183334117755,0.3200076440488725,RK4
100000,4.336818666682423,0.49017246667062864,8.847536248086632,RK4
500000,24.307416899983462,1.2893385333397116,18.852625801092852,RK4
1000000,49.3742975667119,2.3574018999934196,20.944369972234995,RK4
